Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
Diukes,55.556,14.893,27.178,10,3.68,0,55.556,0
koroshiya,50,17.115,23.901,13,3.086,0,50,0
Alkios,39.048,9.181,27.688,6,4.024,0,39.048,0
GabrielaRobin,35.938,8.067,27.997,6,4.196,0,35.938,0
JuliAless64,32.812,6.262,30.991,2,4.381,0,32.812,0
cafezinho,26.724,7.071,30.195,4,3.806,0,26.724,0
Pile,24.762,5.582,30.507,3,4.154,0,24.762,0
comete,23.276,4.005,33.164,0,4.519,0,23.276,0
MD22,22.963,3.083,37.467,0,5,0,22.963,0
Janoxx,22.963,5.296,26.389,4,4.161,0,22.963,0
doomchicken,22.857,4.218,27.178,1,4.417,0,22.857,0
Progenitor,22.222,3.32,33.147,1,4.867,0,22.222,0
SaikiChan,21.875,5.091,28.065,2,4.107,0,21.875,0
Lakumix,18.966,6.255,26.188,4,3.227,0,18.966,0
mahzrunner,18.75,3.045,31.572,1,4.75,0,18.75,0
yasashiikumo,17.143,2.611,32.723,0,4.611,0,17.143,0
,,,,,,,,
2024-09-26,,,,,,,,
Arkana,71.774,24.663,24.067,11,3.618,0,71.774,0
Diukes,57.009,20.632,21.89,9,3.475,0,57.009,0
koroshiya,53.465,18.795,22.968,7,3.5,0,53.465,0
Mami,45.918,13.072,27.212,4,4.111,0,45.918,0
civiltwlight,42.056,10.516,25.448,3,4.222,0,42.056,0
yahallonyanpasu,40.909,11.26,27.786,2,4.111,0,40.909,0
GabrielaRobin,39.516,9.12,26.856,2,4.429,0,39.516,0
Alkios,38.636,12.187,27.104,5,3.971,0,38.636,0
Rissa,37.624,9.586,25.506,0,4.026,0,37.624,0
Hejsan,34,11.25,23.641,3,3.647,0,34,0
AyameNakirium,33.673,6.829,29.39,1,4.576,0,33.673,0
mahzrunner,30.645,5.923,32.177,1,4.763,0,30.645,0
PulseVorteX,29,10.253,21.567,3,3.483,0,29,0
cafezinho,26.531,4.407,33.99,0,5.115,0,26.531,0
JuliAless64,26,7.245,27.899,3,4.192,0,26,0
Pile,24.752,4.731,31.11,1,4.68,0,24.752,0
provenance,21.591,3.73,29.684,0,5.053,0,21.591,0
Progenitor,20,4.635,26.95,1,4.4,0,20,0
yasashiikumo,19.626,3.732,33.218,0,4.952,0,19.626,0
753,19.626,5.345,27.2,0,4.143,0,19.626,0
Serozero,18.367,2.346,38.22,0,5.556,0,18.367,0
SaikiChan,17.742,3.225,34.222,1,5.136,0,17.742,0
Skychael,14.851,4.356,28.76,1,3.933,0,14.851,0
Lakumix,13.636,2.176,34.019,0,5.333,0,13.636,0
,,,,,,,,
2025-06-05,,,,,,,,
Eryth,76.984,27.497,25.343,8,3.505,0,76.984,0
badatlife,61.538,21.383,25.937,9,3.682,0,61.538,0
Diukes,60.169,20.501,25.556,10,3.831,0,60.169,0
civiltwlight1,54.839,15.353,27.767,0,4,0,54.839,0
iryd,47.674,15.48,28.74,5,3.805,0,47.674,0
Math_,45.946,12.083,27.223,3,4.353,0,45.946,0
753,42.342,10.213,28.698,1,4.489,0,42.342,0
FaLiLV,42.342,10.065,27.843,2,4.532,0,42.342,0
Alkios,41.88,11.889,29.463,3,4.061,0,41.88,0
PoolNoodle,41.748,11.143,27.971,2,4.233,0,41.748,0
beautiful,36.364,7.452,31.272,1,4.654,0,36.364,0
JuliAless64,35.714,7.037,29.504,0,4.622,0,35.714,0
Rissa,33.898,7.315,29.637,2,4.775,0,33.898,0
comete,32.203,6.457,28.592,1,4.816,0,32.203,0
kkura_,31.068,7.384,28.007,1,4.5,0,31.068,0
BlackCondor,30.769,8.145,26.765,3,4.295,0,30.769,0
Orfey,28.205,7.699,29.864,1,4.091,0,28.205,0
Chemist,27.184,6.41,29.402,2,4.643,0,27.184,0
Kenzou_Tenma,27.119,3.996,29.335,0,5.25,0,27.119,0
Progenitor,26.496,5.905,32.234,0,4.516,0,26.496,0
Janoxx,24,7.693,24.467,2,4,0,24,0
yasashiikumo,21.053,4.151,28.407,0,4.688,0,21.053,0
Skychael,19.417,4.074,32.48,0,4.75,0,19.417,0
SaikiChan,18.919,3.045,31.986,0,5.381,0,18.919,0
Konsumenci,13.986,2.208,31.341,1,5.55,0,13.986,0
Atsui_,9.524,1.474,35.885,0,5.333,0,9.524,0
,,,,,,,,
2025-06-11,,,,,,,,
channina,83.178,31.344,26.834,13,3.461,0,83.178,0
YuriMeguri,71.277,24.075,26,6,3.597,0,71.277,0
kkura_,58.4,13.37,29.897,2,4.397,0,58.4,0
Sniparook,57.391,16.787,26.992,3,3.924,0,57.391,0
