civiltwlight, Last month elo: 18.658, this month elo: 18.258, diff: -0.4
KanaKanowata, Last month elo: 8.543, this month elo: 8.135, diff: -0.408
Math_, Last month elo: 18.188, this month elo: 17.744, diff: -0.444
qwecocacola, Last month elo: 10.707, this month elo: 10.259, diff: -0.448
Janoxx, Last month elo: 11.252, this month elo: 10.802, diff: -0.45
apurplenose, Last month elo: 15.408, this month elo: 14.921, diff: -0.487
chaabdu92, Last month elo: 12.085, this month elo: 11.598, diff: -0.487
beautiful, Last month elo: 12.806, this month elo: 12.266, diff: -0.54
Zeal_Kido, Last month elo: 12.699, this month elo: 12.076, diff: -0.623
mahzrunner, Last month elo: 13.04, this month elo: 12.196, diff: -0.844
KNotAnyMore, Last month elo: 13.302, this month elo: 12.444, diff: -0.858
Beokros, Last month elo: 14.256, this month elo: 13.255, diff: -1.001
