Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,Samples
1,atsui,48.75,2.0,0.0,5.141,6.0,9.0,3,3,0,34.0,44.0,42.0,8.0,4.0,3.0,1.0,1.0,4.619,1
4,watashiii,74.483,7.0,0.0,3.935,15.0,27.0,2,3,0,71.0,37.0,90.0,19.0,6.0,6.0,4.0,3.0,3.489,1
33,Tsui,49.06,3.333,0.0,4.67,7.0,10.333,11,5,1,24.667,49.333,32.0,7.333,5.333,1.667,0.667,0.667,4.038,3
52,Thaleko,71.901,7.0,0.0,4.264,10.0,17.0,3,2,0,40.0,47.0,40.0,0.0,2.0,0.0,0.0,1.0,4.075,1
59,neoburnz,71.196,6.0,0.0,4.4,11.25,18.5,11,11,0,55.25,44.0,60.0,4.75,6.5,1.25,0.75,0.75,4.074,4
66,bamboo,49.383,3.667,0.333,4.127,9.667,7.667,7,8,0,28.0,27.333,28.333,0.333,5.333,0.333,0.0,0.0,3.728,3
67,DKing20,50.459,1.0,0.0,4.8,4.0,7.0,3,2,0,34.0,21.0,34.0,0.0,1.0,0.0,0.0,0.0,4.706,1
70,MahiruShiina,47.015,5.0,3.0,4.016,8.0,12.0,3,2,0,49.0,14.0,62.0,13.0,3.0,2.0,1.0,1.0,4.016,1
72,ruuka,47.5,1.0,1.0,4.987,6.0,14.0,3,3,0,47.0,29.0,76.0,29.0,0.0,6.0,2.0,1.0,4.237,1
79,JuliAless64,55.039,3.0,1.0,4.592,11.0,7.0,5,0,0,53.0,18.0,64.0,11.0,7.0,1.0,3.0,0.0,4.078,1
81,Pile,47.692,3.0,1.0,4.645,7.0,7.0,2,2,1,44.0,18.0,63.0,19.0,7.0,5.0,3.0,0.0,3.937,1
82,ShiinaMahiru,64.463,4.0,1.0,4.487,8.0,14.0,1,4,0,34.0,44.0,36.0,2.0,8.0,0.0,1.0,0.0,4.083,1
88,Emdiel,53.548,6.0,0.0,4.506,10.0,14.0,4,2,0,58.0,25.0,67.0,9.0,9.0,2.0,2.0,0.0,4.164,1
100,753,51.389,1.0,1.0,5.108,4.0,9.0,2,4,0,61.0,13.0,87.0,26.0,8.0,5.0,8.0,0.0,4.184,1
119,Fumiii,58.186,2.25,0.25,4.798,6.75,14.0,7,14,0,54.25,23.75,60.75,6.5,5.75,1.5,0.75,0.0,4.311,4
121,Janoxx,28.241,8.75,3.0,3.684,11.75,4.0,13,7,0,19.25,16.0,20.5,1.25,12.75,1.0,0.0,0.25,2.159,4
123,Konsumenci,35.552,4.333,1.0,4.603,5.667,4.667,3,12,0,17.0,22.333,21.0,4.0,7.333,2.0,0.667,0.0,3.325,3
143,mahzrunner,47.414,2.0,0.0,4.345,4.0,11.0,3,2,0,30.0,25.0,35.0,5.0,7.0,1.0,1.0,0.0,3.771,1
