Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
Orfey,41.053,12.328,28.918,6,4,0,0,41.053
doomchicken,36.842,9.885,32.315,2,4.057,0,0,36.842
oh95,35.938,6.415,30.642,3,4.804,0,0,35.938
Emdiel,34.737,11.959,28.777,7,3.545,0,0,34.737
Alkios,31.707,8.302,28.904,3,4.051,0,0,31.707
JuliAless64,31.579,6.835,32.871,2,4.767,0,0,31.579
SaikiChan,30.526,6.064,37.117,2,4.931,0,0,30.526
Ephemeral,28.421,3.715,34.738,0,5.444,0,0,28.421
Fumiii,28.333,6.313,33.498,3,4.529,0,0,28.333
Bommie,28.125,3.932,32.51,0,5.167,0,0,28.125
BlackCondor,27.907,9.364,28.31,8,3.722,0,0,27.907
BigSmo,25.263,6.399,31.863,3,4.375,0,0,25.263
provenance,24.031,4.878,30.812,1,4.613,0,0,24.031
Kirox,23.577,4.486,34.359,1,4.793,0,0,23.577
mahzrunner,22.481,5.969,32.377,4,4.276,0,0,22.481
kabigon,22.105,4.066,35.787,2,5.048,0,0,22.105
sunshine_r_w_p,21.667,4.767,34.473,0,4.462,0,0,21.667
JustaWeirdo,20.312,4.185,29.555,2,4.692,0,0,20.312
spanky,17.073,3.565,32.328,1,4.571,0,0,17.073
Janoxx,13.333,2.897,32.783,0,4.312,0,0,13.333
,,,,,,,,
2025-06-25,,,,,,,,
Yokipi,46.97,15.12,28.603,11,3.484,0,0,46.97
ericispog,42.748,11.528,29.794,8,3.982,0,0,42.748
comete,35.878,7.836,31.992,2,4.404,0,0,35.878
Alkios,34.351,8.419,31.423,4,4.2,0,0,34.351
doomchicken,30.702,9.255,31.399,4,3.543,0,0,30.702
Orfey,30.37,11.407,27.192,10,3.073,0,0,30.37
Anoru_,28.148,8.778,28.951,7,3.5,0,0,28.148
mahzrunner,26.515,6.417,30.871,4,4.2,0,0,26.515
provenance,25,5.639,34.035,3,4.424,0,0,25
hmsuis,24.561,4.805,33.999,0,4.464,0,0,24.561
Kirox,22.222,5.656,31.444,3,3.933,0,0,22.222
SaikiChan,21.93,6.357,33.961,4,3.96,0,0,21.93
Skychael,18.421,2.742,33.105,0,5.048,0,0,18.421
Janoxx,11.364,2.623,30.119,1,4.267,0,0,11.364
JustaWeirdo,8.148,0.923,29.915,0,5.364,0,0,8.148
,,,,,,,,
2025-07-28,,,,,,,,
gro,71.622,25.929,22.705,12,3.113,0,0,71.622
poyoyoyoyo,62.626,23.259,23.568,14,2.984,0,0,62.626
Thaleko,55.435,15.384,29.078,7,3.824,0,0,55.435
Tsui,42.991,12.15,28.764,5,3.696,0,0,42.991
Ephemeral,34.783,6.638,31.79,2,4.625,0,0,34.783
Alkios,33.036,7.41,33.203,2,4.405,0,0,33.036
comete,33,6.619,32.295,1,4.455,0,0,33
JuliAless64,33,8.814,30.56,6,4.091,0,0,33
mkby,29.73,6.562,29.654,2,4.409,0,0,29.73
hmsuis,29.464,4.851,34.93,0,4.909,0,0,29.464
BlackCondor,29.348,8.365,28.065,3,3.852,0,0,29.348
Dummy_,28.972,6.336,30.916,1,4.258,0,0,28.972
SaikiChan,28.972,8.542,30.393,6,3.806,0,0,28.972
Bommie,27,4.42,34.477,0,4.741,0,0,27
provenance,25.893,6.579,33.185,5,4.345,0,0,25.893
Dry,24.107,5.697,31.187,2,4.333,0,0,24.107
comfv,23.232,4.909,30.256,0,4.261,0,0,23.232
Progenitor,22.973,3.464,31.555,0,5,0,0,22.973
Lakumix,19.192,3.784,27.315,1,4.526,0,0,19.192
Kenzou_Tenma,18.919,2.724,30.01,0,5.071,0,0,18.919
legrandort,17.391,2.169,33.801,1,5.625,0,0,17.391
Konsumenci,17,2.097,34.233,0,5.353,0,0,17
Janoxx,12.15,3.222,30.76,3,4.462,0,0,12.15
JustaWeirdo,8.081,0.548,30.418,0,6,0,0,8.081
,,,,,,,,
