Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
123,Konsumenci,81.82,0.273,0.382,0.001,1.0,0.427,5.7,4.1,139.0,96,93,3,10,30,27,0,81.82
125,paperyoshi10,129.65,0.432,0.719,0.002,0.0,0.553,13.4,20.2,140.8,13,16,0,5,13,16,0,129.65
126,shadismith,57.42,0.191,0.189,0.0,3.0,0.386,1.0,0.0,106.0,0,5,0,1,0,5,0,57.42
129,peeku,86.09,0.287,0.469,0.0,1.0,0.378,3.0,5.0,179.0,3,3,0,1,3,3,0,86.09
133,ChrisLefko,97.45,0.325,0.495,0.001,0.5,0.466,6.6,7.8,139.1,96,81,10,10,32,24,2,97.45
134,Jakemonkey,73.11,0.244,0.333,0.0,1.0,0.391,3.0,0.5,108.5,3,7,0,2,3,7,0,73.11
136,Megu29,58.09,0.194,0.228,0.0,4.0,0.35,1.0,1.0,136.0,6,0,0,1,6,0,0,58.09
143,mahzrunner,62.17,0.207,0.242,0.0,1.9,0.377,1.4,2.5,145.1,51,39,4,10,28,26,3,62.17
144,liljakatsuragi,57.79,0.193,0.237,0.0,1.0,0.337,2.0,1.0,134.25,8,14,1,4,8,14,1,57.79
146,tapumomo,59.58,0.199,0.276,0.0,0.0,0.314,1.0,0.0,127.0,2,3,0,1,2,3,0,59.58
148,uy5gf,66.85,0.223,0.29,0.0,4.0,0.373,1.0,1.0,169.0,2,4,0,1,2,4,0,66.85
153,Poppysr,89.64,0.299,0.415,0.001,1.5,0.472,6.4,6.8,145.6,32,34,2,10,26,29,2,89.64
155,Unborned,62.71,0.209,0.243,0.0,1.75,0.382,1.125,1.75,116.75,14,28,0,8,14,28,0,62.71
159,legrandort,47.31,0.158,0.167,0.0,1.6,0.305,0.4,1.6,123.6,11,13,3,5,11,13,3,47.31
160,Skychael,73.74,0.246,0.315,0.0,3.0,0.417,3.4,1.8,148.2,11,15,1,5,11,15,1,73.74
161,Slizzer,28.23,0.094,0.06,0.0,3.0,0.225,0.0,0.0,117.0,4,5,1,2,4,5,1,28.23
168,Lightning,64.14,0.214,0.3,0.0,1.333,0.335,1.0,2.667,131.0,10,7,0,3,10,7,0,64.14
169,yashadox,61.9,0.206,0.214,0.0,1.333,0.404,1.0,1.333,111.667,4,11,0,3,4,11,0,61.9
171,JustAWeirdo,45.24,0.151,0.092,0.0,3.0,0.365,0.0,1.0,98.0,3,2,0,1,3,2,0,45.24
174,TateyamaAyano,44.84,0.149,0.09,0.0,3.0,0.363,0.0,1.5,105.5,2,8,0,2,2,8,0,44.84
175,Kirox,74.31,0.248,0.329,0.0,1.875,0.408,2.5,2.875,133.375,18,22,3,8,18,22,3,74.31
177,oh95,88.91,0.296,0.457,0.0,0.9,0.419,4.4,6.5,154.5,47,50,7,10,26,23,7,88.91
180,psirockin,51.19,0.171,0.159,0.0,1.0,0.354,1.0,2.0,132.0,2,4,0,1,2,4,0,51.19
181,Yolowolf75,98.21,0.327,0.534,0.001,0.4,0.432,5.3,7.7,150.6,34,32,6,10,27,27,3,98.21
191,redeyes,59.83,0.199,0.268,0.0,3.0,0.325,2.0,1.0,123.0,2,3,0,1,2,3,0,59.83
194,Math_,115.49,0.385,0.603,0.001,0.0,0.534,8.5,19.0,134.0,7,2,1,2,7,2,1,115.49
217,ShelterRin,66.42,0.221,0.272,0.0,1.0,0.389,0.0,2.0,92.0,2,3,0,1,2,3,0,66.42
228,Dry,91.78,0.306,0.367,0.001,3.0,0.545,8.714,6.429,130.0,23,16,0,7,23,16,0,91.78
237,transfer,54.81,0.183,0.13,0.0,6.0,0.422,4.0,1.0,161.0,5,1,0,1,5,1,0,54.81
238,Progenitor,67.84,0.226,0.309,0.0,2.0,0.363,1.5,3.0,171.0,7,4,1,2,7,4,1,67.84
241,yasashiikumo,61.67,0.206,0.248,0.0,2.0,0.365,1.0,1.333,135.0,5,8,2,3,5,8,2,61.67
250,md22,71.19,0.237,0.25,0.0,1.5,0.461,3.0,1.5,96.5,2,7,0,2,2,7,0,71.19
263,Tvaz,88.82,0.296,0.441,0.001,2.0,0.435,6.4,7.0,153.4,46,51,9,10,25,26,7,88.82
268,civiltwlight,133.56,0.445,0.751,0.002,0.167,0.558,10.667,20.667,125.0,14,17,2,6,14,17,2,133.56
274,Mami,97.58,0.325,0.456,0.002,0.25,0.508,7.75,11.25,151.5,12,11,1,4,12,11,1,97.58
276,hmsuis,84.91,0.283,0.419,0.001,0.5,0.419,5.0,4.6,134.3,34,36,5,10,23,26,5,84.91
277,chemist,84.65,0.282,0.382,0.0,0.7,0.457,4.5,5.3,149.1,30,32,4,10,25,27,4,84.65
285,miiarad,58.05,0.194,0.221,0.0,4.0,0.357,4.0,2.0,181.0,4,2,0,1,4,2,0,58.05
289,Provenance,74.88,0.25,0.325,0.0,1.625,0.418,3.625,3.125,131.875,21,19,3,8,21,19,3,74.88
291,ss_r_white_pony,48.02,0.16,0.151,0.0,0.0,0.33,0.0,0.0,86.0,2,3,0,1,2,3,0,48.02
292,FeyFey,56.72,0.189,0.19,0.0,2.1,0.377,1.3,1.4,130.1,35,41,1,10,26,29,1,56.72
307,kaededayo,84.4,0.281,0.433,0.0,0.0,0.399,3.333,3.667,131.0,7,8,1,3,7,8,1,84.4
311,beautiful,96.76,0.323,0.474,0.001,0.0,0.481,8.0,9.0,173.0,1,5,0,1,1,5,0,96.76
317,Hyo,64.47,0.215,0.216,0.0,1.0,0.429,0.0,5.0,125.0,3,2,0,1,3,2,0,64.47
325,Swapin,77.45,0.258,0.366,0.0,0.6,0.4,3.2,3.8,144.1,73,69,9,10,32,23,2,77.45
326,pomo,58.69,0.196,0.198,0.001,1.0,0.388,2.0,0.0,106.0,1,4,0,1,1,4,0,58.69
327,Flato,97.14,0.324,0.51,0.001,0.4,0.447,6.4,7.7,149.8,117,114,11,10,27,29,2,97.14
330,_nadeshiko,120.28,0.401,0.614,0.003,0.0,0.57,12.5,15.0,140.0,6,5,0,2,6,5,0,120.28
332,Mangalodon,68.73,0.229,0.229,0.0,1.0,0.458,6.0,1.0,105.0,3,2,0,1,3,2,0,68.73
335,xeyz,63.93,0.213,0.211,0.0,1.0,0.429,2.0,1.0,128.0,1,4,0,1,1,4,0,63.93
336,fiftypercentweeb,82.97,0.277,0.394,0.0,1.8,0.426,4.2,2.2,136.2,16,10,1,5,16,10,1,82.97
338,ranny,65.79,0.219,0.186,0.0,3.0,0.474,3.0,0.0,102.0,4,2,0,1,4,2,0,65.79
339,Hibari,77.73,0.259,0.36,0.0,1.0,0.41,1.5,3.5,135.5,3,7,1,2,3,7,1,77.73
344,Naizuri,83.27,0.278,0.4,0.001,1.0,0.423,5.0,6.2,149.8,98,93,10,10,22,29,6,83.27
348,Heleos,62.99,0.21,0.261,0.0,1.0,0.365,1.0,2.0,165.0,2,4,0,1,2,4,0,62.99
356,Isekaijoucho,56.04,0.187,0.19,0.0,5.0,0.37,2.0,0.0,116.0,4,1,0,1,4,1,0,56.04
357,chommy,59.33,0.198,0.057,0.0,4.0,0.548,1.0,0.0,106.0,1,4,0,1,1,4,0,59.33
363,Wiwmek,62.57,0.209,0.254,0.0,3.0,0.368,3.0,2.0,130.0,3,2,0,1,3,2,0,62.57
368,arpia97,67.51,0.225,0.228,0.0,4.0,0.447,1.0,3.0,101.0,3,2,0,1,3,2,0,67.51
369,florenz,113.92,0.38,0.632,0.001,0.3,0.487,10.3,12.3,151.6,40,40,4,10,30,25,3,113.92
370,Andrey_K,69.78,0.233,0.288,0.0,1.25,0.405,4.25,1.75,129.5,10,12,0,4,10,12,0,69.78
373,harges,82.58,0.275,0.366,0.0,0.75,0.453,4.25,8.5,144.75,9,15,0,4,9,15,0,82.58
376,qwecocacola,52.16,0.174,0.209,0.0,4.5,0.31,1.0,0.5,154.5,7,5,0,2,7,5,0,52.16
379,CipherKai,71.99,0.24,0.349,0.0,3.0,0.363,2.0,3.0,149.0,0,5,0,1,0,5,0,71.99
382,Shiku,83.8,0.279,0.419,0.001,0.7,0.408,4.9,4.7,141.8,87,78,6,10,28,28,1,83.8
384,Miki_Hoshii,142.52,0.475,0.836,0.003,0.0,0.558,15.3,28.7,140.6,40,46,3,10,22,32,2,142.52
386,Coglionedown,88.11,0.294,0.445,0.001,0.3,0.424,4.3,5.2,141.5,93,87,10,10,28,25,4,88.11
388,Tsuni,57.2,0.191,0.08,0.0,1.0,0.5,1.0,0.0,100.0,2,3,0,1,2,3,0,57.2
398,kabao,78.24,0.261,0.39,0.0,2.0,0.382,3.0,4.0,144.5,9,10,2,4,9,10,2,78.24
399,ElJuanchi,39.66,0.132,0.079,0.0,0.0,0.321,0.0,0.0,101.0,0,5,0,1,0,5,0,39.66
400,Vr0003,61.67,0.206,0.215,0.0,0.0,0.401,1.0,2.0,121.0,1,4,0,1,1,4,0,61.67
401,Spartric,64.04,0.213,0.286,0.0,2.6,0.349,2.0,2.1,138.8,66,67,6,10,25,30,2,64.04
403,AnnaYanami,78.35,0.261,0.365,0.0,0.444,0.411,3.111,3.111,118.889,25,20,2,9,25,20,2,78.35
405,anicomi,53.56,0.179,0.167,0.0,2.25,0.369,1.75,0.25,125.75,16,5,1,4,16,5,1,53.56
410,FoopyPoopy,33.55,0.112,0.054,0.0,6.0,0.286,0.0,0.0,129.0,1,4,0,1,1,4,0,33.55
413,zokie,80.74,0.269,0.349,0.0,1.0,0.452,1.0,4.0,106.0,0,5,0,1,0,5,0,80.74
416,OkitaNobu,62.9,0.21,0.217,0.0,2.0,0.412,2.0,1.7,131.5,40,34,0,10,31,27,0,62.9
417,YellowRose,65.16,0.217,0.262,0.0,2.0,0.387,0.5,2.0,147.0,3,7,1,2,3,7,1,65.16
421,Cherryish,95.09,0.317,0.473,0.001,0.857,0.465,7.0,8.143,138.571,26,13,0,7,26,13,0,95.09
422,MapleSyyrup,70.76,0.236,0.248,0.001,3.429,0.458,3.0,3.714,135.714,16,20,1,7,16,20,1,70.76
426,Raphtelia,13.13,0.044,0.045,0.0,9.0,0.086,0.0,0.0,110.0,2,3,0,1,2,3,0,13.13
430,HaruUrara,66.11,0.22,0.264,0.0,1.0,0.393,1.667,1.333,115.667,6,9,0,3,6,9,0,66.11
446,Hotpot,55.1,0.184,0.185,0.0,2.0,0.366,2.0,1.0,135.0,3,3,0,1,3,3,0,55.1
452,Kynn,115.16,0.384,0.623,0.001,0.4,0.509,9.7,14.4,150.1,66,49,10,10,33,22,4,115.16
453,RyoutaVN,56.86,0.19,0.203,0.0,1.667,0.364,0.667,1.0,130.333,8,9,0,3,8,9,0,56.86
455,l_elf10,78.35,0.261,0.341,0.0,3.0,0.436,3.5,5.2,153.6,62,59,3,10,27,29,2,78.35
462,hakohoka,28.16,0.094,0.053,0.0,4.0,0.232,1.0,0.0,152.0,3,3,0,1,3,3,0,28.16
463,Gabetin,70.9,0.236,0.31,0.0,1.0,0.393,3.0,3.0,129.0,4,1,0,1,4,1,0,70.9
466,metak,47.23,0.157,0.176,0.0,0.5,0.295,0.0,1.5,126.0,4,7,0,2,4,7,0,47.23
474,Nomu,47.0,0.157,0.074,0.0,6.0,0.403,0.0,1.0,149.0,4,2,0,1,4,2,0,47.0
476,ThePieGod,47.9,0.16,0.075,0.0,5.0,0.411,0.0,1.0,107.0,1,4,0,1,1,4,0,47.9
477,FurLain,73.15,0.244,0.323,0.0,1.8,0.402,1.9,3.6,135.3,23,34,4,10,22,31,3,73.15
486,CH0K0,95.73,0.319,0.475,0.001,0.0,0.469,6.0,3.0,162.0,4,2,0,1,4,2,0,95.73
488,kinjacky,74.93,0.25,0.333,0.0,0.0,0.409,4.0,2.0,156.0,3,3,0,1,3,3,0,74.93
490,fanna,137.95,0.46,0.771,0.004,0.1,0.581,15.5,28.1,141.4,27,30,5,10,22,30,5,137.95
493,chiabobo,51.46,0.172,0.087,0.0,1.0,0.435,0.5,0.0,99.0,3,7,0,2,3,7,0,51.46
500,dreamflyaway,34.33,0.114,0.039,0.0,5.0,0.31,0.0,0.0,152.0,2,4,0,1,2,4,0,34.33
504,Yonakax_,38.82,0.129,0.114,0.0,5.0,0.276,0.0,0.0,123.0,3,2,0,1,3,2,0,38.82
509,internetperson10,46.0,0.153,0.188,0.0,4.0,0.27,1.0,2.0,144.0,8,4,0,2,8,4,0,46.0
511,nekko_khayal,66.79,0.223,0.278,0.0,1.25,0.386,2.0,1.5,142.5,9,13,1,4,9,13,1,66.79
520,konomi,72.81,0.243,0.366,0.0,0.0,0.352,2.0,4.0,123.0,2,3,0,1,2,3,0,72.81
523,seanpk,79.5,0.265,0.333,0.001,4.0,0.456,2.0,5.0,111.0,2,3,0,1,2,3,0,79.5
530,kneesocks,58.16,0.194,0.239,0.0,1.0,0.339,0.0,1.0,134.0,0,6,0,1,0,6,0,58.16
