Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,,
isabella,63.248,21.086,22.524,11,3.027,63.248,0,0
ZephaniJong,40.517,11.794,25.492,9,3.511,40.517,0,0
Baguett,39.535,11.109,24.695,5,3.412,39.535,0,0
oh95,38.889,11.801,28.59,5,3.262,38.889,0,0
MrWolf,37.097,12.119,20.481,9,3.174,37.097,0,0
comete,35.897,8.729,25.212,2,3.738,35.897,0,0
Maki04,33.871,9.14,25.693,3,3.548,33.871,0,0
Rissa,31.897,7.379,26.343,2,3.946,31.897,0,0
Janoxx,31.452,8.56,23.444,2,3.462,31.452,0,0
Kenzou_Tenma,30.233,7.848,23.519,2,3.538,30.233,0,0
ShiinaMahiru,24.031,6.742,26.647,5,3.548,24.031,0,0
RealAnimeWatcher,22.222,5.211,30.514,0,3.75,22.222,0,0
Galvion4k,19.444,5.058,26.018,1,3.429,19.444,0,0
SaikiChan,18.966,3.693,25.697,0,4.273,18.966,0,0
Konsumenci,18.803,3.836,24.221,1,4.182,18.803,0,0
lilycat,18.519,5.568,23.511,2,3.25,18.519,0,0
SakuraMitsutsuki,17.593,3.85,29.457,0,3.947,17.593,0,0
Serozero,12.963,2.375,29.609,1,4.5,12.963,0,0
mahzrunner,12.903,1.934,27.954,0,4.688,12.903,0,0
mitsorubi,12.821,2.942,25.779,1,4.067,12.821,0,0
AnotherWish,9.483,1.223,27.26,0,5,9.483,0,0
miiarad,6.977,1.034,31.942,0,4.667,6.977,0,0
MD22,5.556,1.241,20.792,1,4.167,5.556,0,0
,,,,,,,,
,,,,,,,,
AKl,83.486,28.089,23.793,12,3.571,83.486,0,0
civiltwlight,65.574,19.611,24.256,6,3.812,65.574,0,0
Baikinman,63.971,22.215,23.26,11,3.506,63.971,0,0
Alkios,48.201,12.78,25.063,4,4.104,48.201,0,0
ZephaniJong,48.175,12.961,27.242,4,4,48.175,0,0
oh95,47.706,10.728,26.954,1,4.346,47.706,0,0
PoolNoodle,43.925,11.953,26.776,5,4.213,43.925,0,0
PulseVorteX,43.066,12.459,24.332,6,3.915,43.066,0,0
GabrielaRobin,42.056,10.066,26.497,3,4.378,42.056,0,0
chaabdu92,37.41,8.566,27.873,1,4.481,37.41,0,0
Maki04,36.885,9.052,26.265,3,4.356,36.885,0,0
Janoxx,35.971,9.342,24.993,1,4.18,35.971,0,0
JuliAless64,28.676,6.735,27.108,2,4.436,28.676,0,0
KaedeDayo,28.676,5.616,29.999,1,4.846,28.676,0,0
cafezinho,27.338,5.956,28.805,1,4.711,27.338,0,0
ShiinaMahiru,27.049,4.427,29.225,0,4.939,27.049,0,0
THE_USUAL,25.41,5.211,27.169,1,4.774,25.41,0,0
MrWolf,24.818,7.439,23.293,4,3.941,24.818,0,0
Konsumenci,21.495,3.701,27.732,0,5.087,21.495,0,0
lilycat,20.588,4.5,28.95,2,4.857,20.588,0,0
SaikiChan,20.183,3.934,26.945,1,4.682,20.183,0,0
beautiful,19.626,2.7,30.605,0,5.381,19.626,0,0
mitsorubi,11.927,1.519,29.46,0,5.308,11.927,0,0
AnotherWish,10.219,1.985,26.045,0,4.571,10.219,0,0
,,,,,,,,
,,,,,,,,
civiltwlight,70.635,22.517,24.325,11,3.18,70.635,0,0
NyanFey,68.627,22.714,23.609,9,3.086,68.627,0,0
Baikinman,68.103,22.236,23.202,15,3.329,68.103,0,0
YuriMeguri,48.864,15.697,24.63,6,3.163,48.864,0,0
ZephaniJong,47.619,12.093,27.114,1,3.7,47.619,0,0
Alzheimers,46.429,15.653,24.146,10,3.282,46.429,0,0
ruuka,37.302,9.136,26.674,2,3.723,37.302,0,0
neoburnz,36.275,8.436,26.976,1,3.865,36.275,0,0
ChrisLefko,35.897,9.271,25.89,1,3.679,35.897,0,0
ShiinaMahiru,35.345,7.197,27.067,1,4.293,35.345,0,0
Zeal_Kido,32.051,7.733,25.947,1,3.92,32.051,0,0
cafezinho,25,3.181,28.402,0,5.103,25,0,0
provenance,24.603,5.357,25.395,0,3.968,24.603,0,0
FeyFey,24.51,5.922,25.815,2,3.88,24.51,0,0
