Player ID,PlayerName,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK
336,fiftypercentweeb,11.181,0.274,0.369,0.024,0.8,0.434,0.16,0.031,7,3,0,2,7,3,0
338,ranny,9.024,0.178,0.186,0.048,0.4,0.474,0.12,0.0,4,2,0,1,4,2,0
339,Hibari,10.722,0.254,0.348,0.0,0.8,0.45,0.04,0.082,2,3,0,1,2,3,0
344,Naizuri,11.28,0.278,0.334,0.1,0.76,0.462,0.164,0.076,31,22,0,10,31,22,0
356,Isekaijoucho,8.228,0.14,0.19,0.048,0.0,0.37,0.08,0.0,4,1,0,1,4,1,0
363,Wiwmek,9.459,0.198,0.254,0.048,0.4,0.368,0.12,0.041,3,2,0,1,3,2,0
369,florenz,15.086,0.442,0.632,0.024,1.0,0.495,0.24,0.255,4,7,0,2,4,7,0
370,Andrey_K,10.477,0.243,0.275,0.071,0.7,0.423,0.22,0.02,5,6,0,2,5,6,0
376,qwecocacola,8.589,0.157,0.172,0.0,0.8,0.342,0.04,0.0,5,1,0,1,5,1,0
382,Shiku,10.52,0.245,0.326,0.016,0.844,0.41,0.058,0.068,23,22,2,9,23,22,2
384,Miki_Hoshii,20.311,0.721,0.834,0.619,1.0,0.635,0.667,0.537,10,5,0,3,10,5,0
386,Coglionedown,12.524,0.331,0.43,0.074,0.933,0.458,0.182,0.125,24,23,1,9,24,23,1
388,Tsuni,8.36,0.146,0.08,0.048,0.8,0.5,0.04,0.0,2,3,0,1,2,3,0
400,Vr0003,9.473,0.198,0.215,0.0,1.0,0.401,0.04,0.041,1,4,0,1,1,4,0
401,Spartric,10.288,0.235,0.305,0.029,0.8,0.403,0.092,0.033,37,35,4,10,29,26,1
403,AnnaYanami,11.627,0.293,0.388,0.048,0.933,0.43,0.14,0.068,18,12,2,6,18,12,2
405,anicomi,8.391,0.148,0.14,0.0,0.8,0.369,0.04,0.0,2,3,0,1,2,3,0
413,zokie,10.875,0.26,0.349,0.048,0.8,0.452,0.04,0.082,0,5,0,1,0,5,0
416,OkitaNobu,9.419,0.196,0.218,0.033,0.74,0.415,0.068,0.037,35,27,0,10,32,25,0
421,Cherryish,11.001,0.266,0.358,0.048,1.0,0.387,0.08,0.041,4,2,0,1,4,2,0
422,MapleSyyrup,10.05,0.224,0.24,0.111,0.333,0.499,0.187,0.048,3,12,1,3,3,12,1
430,HaruUrara,10.36,0.238,0.29,0.048,0.8,0.415,0.12,0.041,4,1,0,1,4,1,0
446,Hotpot,8.748,0.165,0.185,0.0,0.6,0.366,0.08,0.02,3,3,0,1,3,3,0
452,Kynn,14.842,0.431,0.552,0.179,0.95,0.526,0.31,0.189,12,9,0,4,12,9,0
453,RyoutaVN,8.687,0.162,0.194,0.0,0.8,0.344,0.0,0.01,4,7,0,2,4,7,0
455,l_elf10,11.961,0.307,0.354,0.148,0.72,0.483,0.24,0.096,30,23,1,10,30,23,1
466,metak,8.747,0.165,0.188,0.0,1.0,0.292,0.0,0.02,3,2,0,1,3,2,0
477,FurLain,11.251,0.277,0.289,0.048,1.0,0.525,0.16,0.102,1,3,1,1,1,3,1
