Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
91.0,Baikinman,101.94,0.395,0.451,0.125,0.917,0.506,0.238,0.217,10.0,10.0,0.0,0.454,0.22,0.45,0.687,0.208,0.725,0.75,0.05,0.605,4,10.0,10.0,0.0,101.94
97.0,chaabdu92,104.82,0.408,0.426,0.156,0.963,0.557,0.317,0.219,18.0,14.0,1.0,0.388,0.216,0.27,0.937,0.315,0.95,0.965,0.067,0.597,6,18.0,14.0,1.0,104.82
98.0,Comete,117.83,0.467,0.458,0.219,0.944,0.556,0.357,0.303,10.0,2.0,0.0,0.507,0.304,0.417,0.803,0.667,0.55,0.947,0.1,0.636,2,10.0,2.0,0.0,117.83
100.0,753,115.27,0.456,0.497,0.167,0.963,0.552,0.37,0.316,22.0,27.0,0.0,0.579,0.204,0.531,0.678,0.358,0.444,0.719,0.089,0.682,9,22.0,27.0,0.0,115.27
103.0,mrwolf2,122.35,0.488,0.413,0.469,1.0,0.706,0.548,0.316,5.0,6.0,0.0,0.25,0.272,0.246,0.831,0.472,0.55,0.895,0.2,0.847,2,5.0,6.0,0.0,122.35
104.0,joey,104.45,0.407,0.397,0.181,0.933,0.568,0.414,0.134,34.0,35.0,0.0,0.345,0.189,0.248,0.928,0.339,0.94,0.916,0.06,0.647,10,28.0,26.0,0.0,104.45
105.0,Zeal_Kido,103.2,0.401,0.389,0.229,1.0,0.553,0.349,0.246,5.0,10.0,0.0,0.461,0.127,0.384,0.812,0.278,0.667,0.842,0.0,0.68,3,5.0,10.0,0.0,103.2
106.0,cafezinho,121.66,0.485,0.506,0.262,1.0,0.601,0.495,0.324,39.0,34.0,3.0,0.492,0.218,0.363,0.882,0.378,0.84,0.863,0.08,0.678,10,27.0,28.0,1.0,121.66
107.0,Cindergoat,76.96,0.281,0.175,0.094,1.0,0.55,0.238,0.039,2.0,7.0,1.0,0.164,0.071,0.218,0.789,0.306,0.75,0.789,0.0,0.746,2,2.0,7.0,1.0,76.96
112.0,Legitted,115.13,0.455,0.477,0.188,0.944,0.571,0.405,0.355,7.0,5.0,0.0,0.237,0.543,0.147,0.993,0.333,1.0,1.0,0.2,0.635,2,7.0,5.0,0.0,115.13
113.0,Maki04,111.26,0.437,0.488,0.156,0.944,0.527,0.375,0.234,22.0,19.0,2.0,0.485,0.274,0.382,0.842,0.278,0.838,0.849,0.1,0.597,8,22.0,19.0,2.0,111.26
114.0,Mayottatoki,108.56,0.425,0.461,0.188,0.952,0.514,0.306,0.203,11.0,24.0,2.0,0.423,0.262,0.344,0.843,0.381,0.743,0.872,0.057,0.604,7,11.0,24.0,2.0,108.56
119.0,Fumiii,109.26,0.428,0.497,0.169,0.978,0.519,0.333,0.263,53.0,53.0,1.0,0.549,0.198,0.348,0.969,0.161,0.94,0.974,0.06,0.554,10,25.0,28.0,0.0,109.26
120.0,HiHi,108.95,0.427,0.42,0.25,0.889,0.569,0.333,0.316,1.0,4.0,1.0,0.434,0.239,0.278,0.972,0.389,0.9,1.0,0.2,0.559,1,1.0,4.0,1.0,108.95
121.0,Janoxx,101.58,0.393,0.301,0.25,0.9,0.621,0.429,0.158,46.0,48.0,1.0,0.225,0.201,0.144,0.986,0.417,0.93,0.995,0.12,0.783,10,27.0,26.0,1.0,101.58
123.0,Konsumenci,98.86,0.381,0.314,0.238,0.933,0.543,0.352,0.097,50.0,52.0,0.0,0.216,0.191,0.166,0.937,0.511,0.79,0.963,0.08,0.703,10,21.0,30.0,0.0,98.86
128.0,apurplenose,124.78,0.499,0.554,0.306,0.989,0.562,0.457,0.329,28.0,23.0,2.0,0.416,0.407,0.275,0.958,0.311,0.95,0.937,0.18,0.631,10,28.0,23.0,2.0,124.78
129.0,peeku,109.84,0.431,0.496,0.188,0.944,0.527,0.31,0.197,4.0,6.0,0.0,0.382,0.321,0.294,0.887,0.222,0.9,0.947,0.1,0.6,2,4.0,6.0,0.0,109.84
133.0,ChrisLefko,88.67,0.335,0.358,0.031,0.889,0.499,0.214,0.132,4.0,5.0,1.0,0.355,0.196,0.306,0.838,0.139,0.95,0.895,0.0,0.579,2,4.0,5.0,1.0,88.67
134.0,Jakemonkey,107.95,0.422,0.454,0.188,0.944,0.559,0.333,0.23,7.0,13.0,0.0,0.303,0.28,0.206,0.958,0.319,0.925,0.961,0.0,0.636,4,7.0,13.0,0.0,107.95
136.0,Megu29,87.97,0.331,0.255,0.125,1.0,0.6,0.238,0.053,2.0,3.0,0.0,0.263,0.054,0.333,0.69,0.389,0.7,0.789,0.0,0.755,1,2.0,3.0,0.0,87.97
139.0,benevelante,88.53,0.334,0.334,0.104,0.815,0.498,0.206,0.246,6.0,9.0,1.0,0.395,0.138,0.294,0.901,0.185,1.0,0.86,0.067,0.524,3,6.0,9.0,1.0,88.53
143.0,mahzrunner,102.16,0.396,0.396,0.16,0.963,0.513,0.349,0.129,18.0,28.0,2.0,0.357,0.243,0.26,0.92,0.383,0.9,0.912,0.022,0.612,9,18.0,28.0,2.0,102.16
144.0,liljakatsuragi,109.28,0.429,0.477,0.156,0.978,0.538,0.362,0.258,34.0,45.0,2.0,0.467,0.221,0.321,0.931,0.244,0.91,0.926,0.08,0.583,10,24.0,29.0,2.0,109.28
146.0,tapumomo,105.74,0.412,0.421,0.2,0.956,0.564,0.367,0.171,38.0,30.0,1.0,0.343,0.193,0.237,0.948,0.294,0.93,0.953,0.08,0.648,10,29.0,23.0,0.0,105.74
147.0,thjalago,88.57,0.334,0.241,0.266,0.722,0.567,0.369,0.092,11.0,12.0,0.0,0.243,0.092,0.169,0.961,0.347,0.925,0.934,0.0,0.645,4,11.0,12.0,0.0,88.57
