Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
395,LordGrond,79.97,0.218,0.231,0.0,1.667,0.534,0.1,3.667,12,4,0,22.0,6.0,23.333,1.333,5.0,0.0,0.0,0.0,3.953,121.333,3,12,4,0,79.97
400,Vr0003,85.58,0.239,0.246,0.001,3.0,0.571,0.133,9.0,2,3,0,19.0,12.0,27.0,8.0,9.0,2.0,1.0,0.0,2.852,126.0,1,2,3,0,85.58
403,AnnaYanami,91.46,0.26,0.342,0.0,0.0,0.55,0.1,5.0,4,1,0,20.0,20.0,21.0,1.0,3.0,1.0,0.0,0.0,3.619,117.0,1,4,1,0,91.46
410,FoopyPoopy,77.56,0.21,0.216,0.0,1.6,0.492,0.127,2.4,10,16,1,21.6,5.0,24.2,2.6,3.4,0.4,0.4,0.0,4.113,120.8,5,10,16,1,77.56
426,brandon_K,76.86,0.207,0.208,0.0,0.0,0.486,0.133,3.0,3,3,0,22.0,3.0,23.0,1.0,1.0,0.0,1.0,0.0,4.348,120.0,1,3,3,0,76.86
430,HaruUrara,110.8,0.331,0.434,0.001,1.0,0.559,0.267,9.5,5,5,0,26.0,23.5,28.5,2.5,4.5,0.5,0.5,0.5,3.422,114.0,2,5,5,0,110.8
464,Najeem,77.45,0.209,0.19,0.001,2.0,0.558,0.1,7.0,3,2,0,20.0,2.0,24.0,4.0,2.0,0.0,1.0,0.0,3.917,116.0,1,3,2,0,77.45
468,MisheruDesu,73.86,0.196,0.144,0.0,0.0,0.571,0.1,1.0,4,1,0,9.0,4.0,13.0,4.0,2.0,0.0,1.0,1.0,3.769,90.0,1,4,1,0,73.86
472,Whales6978,56.48,0.133,0.148,0.0,0.0,0.339,0.033,0.0,1,4,0,11.0,5.0,24.0,13.0,0.0,0.0,3.0,0.0,4.292,108.0,1,1,4,0,56.48
478,jaimeywea,89.1,0.252,0.368,0.0,1.0,0.534,0.033,8.0,1,4,0,24.0,18.0,29.0,5.0,4.0,0.0,1.0,0.0,3.759,114.0,1,1,4,0,89.1
514,zomg,62.12,0.153,0.136,0.0,0.0,0.454,0.033,0.0,4,1,0,13.0,4.0,22.0,9.0,2.0,2.0,0.0,0.0,3.818,125.0,1,4,1,0,62.12
531,tmokenc,122.99,0.376,0.5,0.001,0.0,0.559,0.367,6.0,5,1,0,36.0,22.0,38.0,2.0,1.0,0.0,0.0,0.0,3.947,116.0,1,5,1,0,122.99
