Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
322,2026-05-07 17:27:53,98.396,Catge,25.926,42.622,0,4,1,4.857,7,0,25.926,0,4,1,28,108,2,4,0,95.455,8.14,20.37,22,1,0,21,1,0,0,4.864,7
325,2026-05-07 17:27:53,84.92,Swapin,42.241,90.595,2,8,0,4.579,4,0,42.241,0,8,6,49,116,9,7,0,82.857,24.691,30.172,35,6,0,29,10,3,1,4.0,20
326,2026-02-13 22:29:59,32.4,pomo,40.708,43.797,5,4,0,4.109,20,0,40.708,0,8,9,46,113,7,3,0,82.5,17.808,35.398,40,9,3,33,7,1,1,3.325,13
327,2026-02-13 22:29:59,51.2,Flato,41.667,35.378,1,8,1,4.378,12,0,41.667,0,4,7,45,108,1,4,0,79.412,24.324,31.481,34,5,1,27,7,0,0,3.824,18
330,2026-03-16 22:36:01,40.49,_nadeshiko,42.683,46.454,2,3,0,3.829,17,0,42.683,0,6,3,35,82,3,2,0,78.571,35.294,17.073,14,6,1,11,3,2,1,2.929,24
334,2026-05-07 17:27:53,84.29,2skr,27.586,72.799,3,6,2,4.231,15,0,27.586,0,9,4,32,117,12,4,0,95,8.989,23.276,27,9,1,24,3,1,0,3.529,8
335,2026-05-07 17:27:53,93.97,xeyz,48.673,48.774,3,6,0,4.621,9,0,48.673,0,8,6,55,113,12,9,0,70.667,7.843,66.372,75,8,4,53,30,8,0,3.933,4
343,2026-05-07 17:27:53,92.53,inta,36.449,94.938,7,6,0,4.69,9,0,36.449,0,10,3,39,107,8,8,0,86.207,9.333,28.037,30,9,2,25,6,3,0,3.913,14
344,2026-01-02 22:09:11,37.0,Naizuri,36.449,32.388,3,3,0,4.077,13,0,36.449,0,9,4,39,107,3,2,0,87.097,15.789,28.972,31,3,0,27,4,1,0,3.645,12
348,2026-03-16 22:36:01,32.7,Heleos,35.211,29.19,1,6,1,4.4,18,0,35.211,0,5,11,50,142,1,4,0,86.047,13.131,30.282,43,4,3,37,6,1,0,3.814,13
357,2026-02-13 22:29:59,25.9,chommy,24.561,27.52,1,2,2,3.821,12,0,24.561,0,6,3,28,114,1,4,0,100,10.417,15.789,18,8,0,18,0,0,0,3.333,10
367,2026-05-07 17:27:53,100.015,PotassiumF,31.667,85.262,6,5,1,4.079,15,0,31.667,0,7,4,38,120,3,3,0,88.889,15.054,22.5,27,2,0,24,3,2,0,3.259,14
376,2026-03-16 22:36:01,40.62,qwecocacola,43.662,38.368,2,6,1,4.548,18,0,43.662,0,7,8,62,142,3,7,0,97.436,23.301,27.778,39,5,1,38,2,0,0,4.231,24
